id,title,descriptions,location,OPERATING_HOURS,ENTRANCE_FEE,PARKING,IMAGE
1,mcy파크,"신개념의 공간 테마파크로써 색의 3원색인 Magents,Cyan,Yellow 3가지색을 기본으로 하여 다양한 칼라와 설치 미술 작품을 통해 새로운 콘테츠를 표현한 공간 예술 작품입니다.
전체 테마가 디저트 뮤지엄, 스쿨버스 뮤지엄, 마방 스튜디오, 아트 분수공원, 인디언텐트, 조명 아트쇼로 구성 되어 있습니다.",경주시 천북남로 196번지,,,,tourist_images/mcy파크.jpg
2,감포항,"2025년이면 개항 100주년을 맞이하는 경주 최대의 항구 감포항.
쉴 사이 없이 고깃배들이 드나들고, 활어 위판장에서는 매일 매일 신선한 생선이 경매로 오간다.
감포항에 머물다보면 절로 활력이 충전되는 느낌을 받는다.
유서깊은 항구답게 곳곳에 볼거리가 산재해 있다.
항구 주변에는 감포의 명물 참가자미회를 파는 횟집들이 즐비해 식도락 여행을 할 수 있다.",경주시 감포읍 감포로2길 93,,,"공용 주차장(감포리 505-6, 무료) 이용",tourist_images/감포항.jpg
3,감포해국길,"감포항 어귀마을에 조성된 골목 벽화거리이다. 
마주잡은 깍지손처럼 이야기를 얼기설기 품고 있는 ‘감포깍지길’의 한 코스로, '제4구간 –골목으로 접어드는 길' 중 만날 수 있다.
연보랏빛 해국을 마을 골목 곳곳의 벽에 수놓았다. 
계단 전체에 해국을 그려놓은 스팟은 놓치지 말아야 할 포토존이다. 

포토존임과 동시에 감포해국길은 감포항의 과거와 현재가 공존하는 길이다.
일제강점기 일본인들이 풍족한 어족자원을 좇아 이곳으로 이주해왔을 때 짓고 살았던 일본식가옥(적산가옥)이 골목 곳곳에 당대의 애환을 품고 수십여 채 남아 있다.
동시에 현재를 살아가는 어촌마을 사람들의 활기찬 오늘도 마주할 수 있다.",경상북도 경주시 감포읍 감포로 119-6,정해진 이용시간 없음,무료,"감포공설시장 주차장(감포리 438-1, 무료), 감포읍 행정복지센터 주차장(감포리 56-1, 무료) 이용",tourist_images/감포해국길.jpg
4,경주 남산 늠비봉오층석탑,"늠비봉 5층석탑은 경주 서남산의 늠비봉 정상부에 있는 오층 석탑이다. 포석정 옆의 부엉골 코스로 올라 40분 정도면 늠비봉에 닿을 수 있다.
늠비봉 오층 석탑은 경주 남산의 유일한 5층 석탑으로 인근에 흩어져 있던 석재를 모아 복원한 것이다.
석재가 많이 소실되어 새 돌을 많이 사용하긴 하였지만 경주에서 흔하지 않은 5층 석탑인데다, 백만 불짜리 전망을 갖고 있어 이름값을 날로 높이는 중이다.

석탑은 용장사곡삼층석탑, 비파곡 제2사지삼층석탑과 함께 탁 트인 전망의 정상부에 세워진 탑이고, 자연석을 그대로 기단으로 사용하여 더욱 웅장한 느낌을 준다.
기단부를 보면 자연석에 인공석을 알맞게 깎아 짜 맞추듯 끼워 넣은 일명 '그랭이 공법'을 사용한 부분을 찾을 수 있다.
불국사의 가구식 석축에 사용된 바로 그 공법으로, 당대의 뛰어난 석축기술이 엿보인다.
탑 자체의 매력에 더해 석탑 뒤로 펼쳐진 경주 시가지의 전망과 그 너머로 붉게 물드는 노을은 늦은 하산을 감수하고라도 꼭 봐야할 풍경이다.

※경주국립공원 남산지구 탐방시간이 18시까지이므로 아름다운 일몰을 보려면 해가 짧은 겨울산행을 노려 보자.","경상북도 경주시 남산순환로 525-26, 부흥사 (배동)",09:00-18:00,,"포석정 공영주차장(배동 527-4, 유료) 이용",
5,경주 남산 신선암 마애보살반가상,"찾을 때마다 힐링과 부러움의 감정을 반반 불러일으키는 불상이 하나 있다.

경주 동남산의 대표 등반 코스인 칠불암 코스에서 만날 수 있는 '신선암 마애보살반가상'이다.

칠불암 바로 위의 거대한 바위(신선암) 남쪽면에 조각되어 있다.
대좌 아래에 뭉게뭉게 피어나는 구름이 표현되어 있어 이 불상과 함께 하는 시간이 신선놀음과도 같다는 생각을 들게 한다.
오른 손에는 꽃가지를 들고 왼손은 가슴까지 올려 포근하게 모아진 모습은 고된 마음을 어루만져 주는 듯하다.
불상의 지그시 감은 두 눈을 따라 가만히 눈을 감으면 평온함이 마음 깊숙이 번지기도 한다.

신선암 마애보살반가상에게서 느끼는 또 하나의 감정, 부러움.
매일 아침 불상은 환상적인 일출을 최고의 전망 포인트에서 만날 테니 드는 감정이다.
새벽 산행 뒤 얻는 신선암에서의 일출은 값진 순간이 아닐 수 없다.",경상북도 경주시 칠불암길 201 (남산동),,,"통일전 공용주차장(칠불암길 6, 무료), 남산동 공용주차장(남산동 1156-134, 무료) 이용",tourist_images/경주_남산_신선암_마애보살반가상.jpg
6,경주 동궁원,"신라 제30대 문무왕은 별궁이었던 동궁에 커다란 연못을 파고 화려한 꽃과 나무를 심고, 진귀한 새와 짐승을 들여와 아름다운 정원을 만들었다.
보문관광단지의 초입에 자리한 경주동궁원은 삼국유사 속 동궁과월지 이야기에서 모티프를 얻어 지난 2013년 조성한 사계절 테마관광시설이다.
동궁식물원과 버드파크로 크게 구성되며 농업연구체험시설, 야외정원, 음악분수 등 부대시설도 잘 갖추어져 있다.

신라시대 한옥 구조로 지어진 ‘동궁식물원’은 본관과 제2관으로 구성되어 있다.
본관은 천마도, 재매정, 월지 등 신라의 문화유산들을 요소요소에 활용해 다섯 가지의 테마를 가진 신라의 정원으로 꾸몄다.
동궁식물원 제2관은 2016년 6월에 개관하였으며 힐링 식물과 화초로 구성한 현대식 정원이다.

새 둥지 모양의 화조원 ‘버드파크’에는 전 세계에서 날아 온 귀한 조류 250종 3,000여 마리가 살고 있다.
버드파크에서는 사람보다 새가 우선이다. 최소한의 안전을 위해 관람통로에 유리벽과 철조망을 쳐두었고 새들에게 넓은 공간을 내어 주었다.
좁은 철창이 아닌 넓은 공간에서 새들이 자유롭게 활동할 수 있도록 설계되었다. 새들과 교감할 수 있는 먹이주기 체험이 인기다.

그 밖에 농업연구체험시설은 농업연구와 함께 도농교류를 위한 농업체험공간으로 마련되었다.
유리온실, 하우스 등지에서 시기에 따라 체리 따기, 블루베리 따기 등의 열매수확체험과 상시체험으로 압화체험을 운영한다.
동궁식물원 본관 옆의 야외음악분수도 잊지 말아야 할 볼거리다.",경주시 보문로 74-14,09:30-19:00,전화문의,경주동궁원 주차장(무료) 이용,tourist_images/경주_동궁원.jpg
7,경주 스파월드,"한국교직원공제회에서 설립한 “더케이호텔 경주”는 신라천년고도 경주 보문관광단지 내에 위치하고 있는 특1급호텔이다.

2001년 6월에 개관한 경주 최대 ㆍ최고의 시설을 자랑하는 스파월드는 사우나ㆍ노천탕ㆍ헬스ㆍ수영장 등의 부대시설로 최상의 고객만족에 앞장서고 있다.

지하 630m에서 용출되는 100% 천연온천수로 1일 900톤의 풍부한 온천자원을 보유하고 있으며, 높은 온도와 구성암석의 용해 및 유화수소의 혼입으로 천연나트륨, 염소, 유화성분이 함유된 수소이온 농도(ph) 9.12의 천연 알칼리성 온천으로 유명하다.

또한 경수연화장치를 통하여 물속의 중금속과 불순물을 제거하여 피부 혈행향진, 류머티즘, 신경통, 근육통, 창상요통, 피부병, 외상휴유증, 피부 미용, 노화방지에 효험이 있는 것으로 알려져 많은 관광객이 온천을 찾을 정도로 인기를 얻고 있다.

대자연을 만끽 할 수 있는 노천온천은 푸른 자연과 삶의 여유를 찾을 수 있는 곳으로 손색이 없다.",경주 엑스포로 45 (신평동),06:00 - 21:00,전화문의,,tourist_images/경주_스파월드.jpg
8,경주 월성,"월성은 신라의 비밀을 고스란히 품고 있는 천년 왕궁이다. 월성은 신라왕들의 주된 생활공간이었다. 월성〔月城〕이라는 이름의 유래는 모양이 반달처럼 생긴 것에서 유래되었다고 전해진다. 월성에 대한 기록은 '삼국사기'나 '삼국유사'등의 역사서에 자주 등장하는데, 파사왕22년〔101〕에 금성 동남쪽에 성을 쌓아 월성 또는 재성〔在城〕이라 불렀다. 이때부터 신라의 궁성 역할을 담당하게 된 월성은 이후 신라가 멸망할 때까지 왕궁으로서 제 기능을 수행하였다.

월성에는 여러 개의 문과 연못, 그리고 만파식적을 보관했던 보물창고인 천존고도 있었으나 지금은 옛 모습들을 찾을 수 없다. 월성의 옛 모습을 밝히고자 국립경주문화재연구소는 2014년 12월부터 월성 내부를 A-D까지 4개 지구, 월성 바깥쪽의 해자지구로 나누어 발굴조사를 진행하고 있다. A지구에서는 월성의 서쪽 성벽에 대한 조사가 이루어지고 있으며, 성벽에서는 성벽을 쌓을 당시 인신공희〔人身供犧〕 제사를 지냈던 것으로 생각되는 인골2구가 발견되었다. 중앙 건물지를 발굴하고 있는 C지구에서 통일신라시대 후기 건물터 17동이 확인되었고, 다량의 기와와 실무에 사용된 것으로 보이는 벼루 등이 출토되었다. 적의 침입을 막기 위해 성 주위를 둘러서 판 못인 해자에서는 동물의 뼈와 식물의 씨앗 등이 확인되어 신라시대 당시의 환경을 짐작할 수 있게 되었다. 이외에도 토우 및 목간 등 다양한 유물이 출토되었다.

국립경주문화재연구소에서는 발굴조사에 대한 성과를 국민들과 공유하고자 월성 발굴조사를 안내할 교육·해설팀 ‘월성이랑’을 운영하고 있다. 월성이랑을 통해 월성발굴현장에 대한 상시해설과 테마가 있는 해설, 발굴현장개방행사, 찾아가는 월성이랑 등 다양한 문화재교육 프로그램을 체험할 수 있다.",경북 경주시 인왕동 448-21,정해진 관람시간 없음,무료,"동궁과 월지 주차장(인왕동 504-1, 무료)",tourist_images/경주_월성.jpg
9,경주 풍력발전(바람의언덕),"토함산의 이웃산인 조항산 정상부에 경주 풍력발전이 자리해 있다.
친환경 청정에너지 생산을 위해 한국동서발전과 동국S&C가 건설한 상업용 풍력발전단지로 총 7기의 풍력발전기가 가동 중이다.
1만여 가구가 쓸 수 있는 양인 평균 4만 mwh 정도의 전력을 연간 생산한다.
산 능선을 따라 띄엄띄엄 거대한 풍력발전기가 세워져 있는데 ‘바람의 언덕’으로 부르는 이 일대를 365일 일반에 개방하고 있다.
풍력발전소가 한 눈에 내려다보이는 정자 ‘경풍루’가 있는 전망대와 함께 바람길 산책로, 피크닉테이블 존 등이 갖추어져 있다.

경주풍력발전 ‘바람의언덕’은 일몰, 노을이 아름다운 곳으로 알려져 있다.
해질녘 찾아보길 권한다. 전망대, 바람길 산책로 등 곳곳에서 석양을 감상하기 좋다.
더러는 일몰 후 조금 더 기다려 별빛 쏟아지는 낭만적인 밤까지 즐기고 가는 이들도 많다.",경상북도 경주시 문무대왕면 불국로 1056-185,정해진 이용시간 없음,무료,전용 주차장 이용,tourist_images/경주_풍력발전바람의언덕.png
10,경주생활체육공원,"경주생활체육공원은 여가시간을 건전한 스포츠 활동으로 유도하여 시민건강증진에 기여하고 경주를 찾는 관광객에게 보다 다양한 체험거리를 제공하여 관광편의를 도모코자 조성하였다.
조성 취지에 맞게 모든 시설을 연중무휴 무료개방 하고 있다.

◎ 이용시설
ㅇ 체육시설 : 야구장1, 풋살 경기장1, 농구장1, 족구장2, 인라인코스, 인공암벽장1
ㅇ 부대시설 : 관리동, 주차장, 화장실, 광장 및 쉼터, 녹지조경 등",경주시 손곡동 519-1번지,휴일포함 연중무휴 개방(주간),,,tourist_images/경주생활체육공원.jpg
